"","Date","TDa","Volatility","Volume","Roll"
"369",2013-07-02,-0.0049346752773024,1.22306,7009,0
"370",2013-07-03,0.460974296847328,0.79585,7299,0
"371",2013-07-05,-0.560414176010694,7.03812,7290,0
"372",2013-07-08,-0.0701965318978868,1.34582,2790,0
"373",2013-07-09,0.622397813224585,1.25213,6746,0
"374",2013-07-10,0.131923545617996,1.41723,7900,0
"375",2013-07-11,0.00980927298336909,1.07103,4326,0
"376",2013-07-12,0.0189250428696616,1.86821,4060,1
"377",2013-07-15,-0.923315128287062,2.08696,12591,0
"378",2013-07-16,0.524693161038708,4.04841,3238,0
"379",2013-07-17,0.758388693477017,0.25322,740,0
"380",2013-07-18,-1.11207876781993,1.17233,8115,0
"381",2013-07-19,0.537888173867083,1.16415,7097,0
"382",2013-07-22,0.287745730357863,1.16686,12115,0
"383",2013-07-23,0.20610813442736,1.76264,12882,0
"384",2013-07-24,0.298778814174074,0.52501,2570,0
"385",2013-07-25,-1.23788122945055,0.88989,3050,0
"386",2013-07-26,0.36437568769802,1.28282,10672,0
"387",2013-07-29,0.502962695934404,1.65975,3676,0
"388",2013-07-30,-0.857710071122641,1.35116,5275,0
"389",2013-07-31,0.289630826814761,0.93578,7395,0
"390",2013-08-01,0.326557430043741,1.76585,12207,0
"391",2013-08-02,0.443308307154402,1.40515,5485,0
"392",2013-08-05,-0.904046564058316,3.80274,8120,0
"393",2013-08-06,-0.351650505499596,1.98197,6209,0
"394",2013-08-07,0.207916136569785,0.91238,11395,0
"395",2013-08-08,0.363906265625967,0.41667,800,0
"396",2013-08-09,-0.642825327764177,0.67319,3430,0
"397",2013-08-12,0.418137422558387,2.27938,5250,0
"398",2013-08-13,0.247393157905128,1.02815,5260,0
"399",2013-08-14,-0.266057549512509,0.79804,7415,0
"400",2013-08-15,0.31762037415495,2.09091,16374,0
"401",2013-08-16,0.155618988848637,0.9701,3210,0
"402",2013-08-19,0.374986735524641,1.58668,23813,0
"403",2013-08-20,-0.129258656770725,1.52066,3725,0
"404",2013-08-21,-0.234659665967773,2.25728,7133,0
"405",2013-08-22,-0.0688502684739152,0.89659,21150,0
"406",2013-08-23,-0.40576129380329,0.67258,3300,0
"407",2013-08-26,0.344455478728535,2.90284,33051,0
"408",2013-08-27,-0.12269986256779,1.1919,5750,0
"409",2013-08-28,0.122721124047018,0.76744,6810,0
"410",2013-08-29,-0.0263741427836707,0.96735,1119,0
"411",2013-08-30,0.218006712733205,1.0857,1390,0
"412",2013-09-03,-0.433608500916526,0.97966,9470,0
"413",2013-09-04,-0.33892323501915,1.90666,10081,0
"414",2013-09-05,0.803740223514637,0.80099,4507,0
"415",2013-09-06,-0.798057349609103,1.72191,4555,0
"416",2013-09-09,1.20131522881726,1.01411,2905,0
"417",2013-09-10,-0.328923039682139,2.26577,15323,0
"418",2013-09-11,-1.05554124287669,1.11248,9620,0
"419",2013-09-12,0.60505946517195,2.68123,14413,0
"420",2013-09-13,-0.0800585225923871,1.00497,4187,1
"421",2013-09-16,1.93462785091388,1.77154,2100,0
"422",2013-09-17,-1.62891831212855,0.83323,1600,0
"423",2013-09-18,0.892887896980894,1.9542,2400,0
"424",2013-09-19,-1.35424235393968,2.37805,15935,0
"425",2013-09-20,0.218645902360435,1.60532,8600,0
"426",2013-09-23,0.177945898218689,1.70331,1823,0
"427",2013-09-24,-0.468122148170942,1.64573,12570,0
"428",2013-09-25,0.244389748719425,0.82635,7227,0
"429",2013-09-26,-0.101926790058255,1.88777,22506,0
