Date,Close,Open,Low,High
02-Aug-2017,51.383,51.247,51.151,51.578
01-Aug-2017,51.111,52.204,51.091,52.268
31-Jul-2017,52.305,51.947,51.864,52.465
28-Jul-2017,52.445,52.131,52.063,52.811
27-Jul-2017,52.246,52.043,51.996,52.543
26-Jul-2017,51.912,51.432,51.180,51.962
25-Jul-2017,51.375,52.719,51.353,52.896
24-Jul-2017,52.429,52.175,52.012,52.441
21-Jul-2017,53.035,53.504,52.938,53.577
20-Jul-2017,53.628,52.883,52.783,53.798
19-Jul-2017,53.006,52.493,52.359,53.396
18-Jul-2017,52.499,52.865,52.364,53.379
17-Jul-2017,52.333,52.203,52.142,52.725
14-Jul-2017,52.598,52.161,52.065,52.795
13-Jul-2017,52.005,52.989,51.936,53.117
12-Jul-2017,53.605,54.431,53.402,54.488
11-Jul-2017,54.622,54.816,53.802,54.850
10-Jul-2017,54.588,54.456,54.339,54.841
07-Jul-2017,53.725,53.266,53.000,54.092
06-Jul-2017,53.370,52.976,52.719,53.455
05-Jul-2017,53.688,53.192,52.795,53.950
03-Jul-2017,53.198,52.623,52.528,53.755
30-Jun-2017,51.912,50.353,50.347,52.004
29-Jun-2017,50.301,49.588,49.554,50.537
28-Jun-2017,49.467,49.494,49.302,49.585
27-Jun-2017,49.430,49.328,49.319,49.742
26-Jun-2017,49.186,49.471,49.063,49.548
23-Jun-2017,49.296,49.307,49.190,49.576
22-Jun-2017,49.315,50.021,49.258,50.087
21-Jun-2017,50.120,50.871,50.089,50.871
20-Jun-2017,50.763,51.254,50.451,51.385
19-Jun-2017,51.119,51.204,51.089,51.505
16-Jun-2017,51.441,51.222,50.997,51.460
15-Jun-2017,51.025,50.685,50.232,51.161
14-Jun-2017,50.704,51.080,50.676,51.272
13-Jun-2017,50.937,50.892,50.707,51.173
12-Jun-2017,50.691,51.366,50.592,51.485
09-Jun-2017,51.521,51.446,51.056,51.787
08-Jun-2017,51.441,51.214,51.193,51.831
07-Jun-2017,51.051,50.645,50.598,51.173
06-Jun-2017,50.446,50.225,50.143,50.798
05-Jun-2017,50.203,50.211,50.008,50.383
02-Jun-2017,50.068,50.083,49.961,50.460
01-Jun-2017,50.072,50.432,49.884,50.550
31-May-2017,50.402,50.570,50.309,50.718
30-May-2017,50.335,50.751,50.136,50.852
26-May-2017,50.945,50.939,50.824,51.143
25-May-2017,50.995,51.268,50.963,51.432
24-May-2017,51.242,51.201,51.022,51.366
23-May-2017,51.230,51.974,51.180,51.976
22-May-2017,51.942,52.055,51.923,52.253
19-May-2017,51.883,51.334,51.247,51.900
18-May-2017,51.126,51.832,50.985,51.888
17-May-2017,52.130,51.755,51.753,52.314
16-May-2017,51.796,51.667,51.541,51.890
15-May-2017,51.735,51.923,51.717,52.277
12-May-2017,51.905,51.753,51.682,52.050
11-May-2017,51.785,51.918,51.616,52.157
10-May-2017,52.007,51.716,51.654,52.281
09-May-2017,51.724,51.671,51.626,51.980
08-May-2017,51.646,51.813,51.558,51.964
05-May-2017,52.060,51.897,51.721,52.383
04-May-2017,51.838,52.657,51.715,52.658
03-May-2017,52.648,52.464,52.178,52.690
02-May-2017,52.477,52.955,52.210,53.112
01-May-2017,52.753,51.937,51.902,52.860
28-Apr-2017,51.560,51.342,51.164,51.597
27-Apr-2017,51.315,51.250,51.116,51.459
26-Apr-2017,51.245,51.929,51.146,51.985
25-Apr-2017,51.788,51.391,51.203,51.965
24-Apr-2017,51.512,51.691,51.323,51.756
21-Apr-2017,51.395,51.377,51.065,51.514
20-Apr-2017,51.346,51.923,51.323,52.278
19-Apr-2017,51.964,52.199,51.886,52.480
18-Apr-2017,52.156,52.390,51.869,52.404
17-Apr-2017,52.342,52.614,52.234,52.665
13-Apr-2017,52.552,52.544,52.467,52.917
12-Apr-2017,52.409,52.435,52.282,52.595
11-Apr-2017,52.237,52.247,51.735,52.300
10-Apr-2017,52.201,51.855,51.797,52.204
07-Apr-2017,51.845,51.743,51.560,51.871
06-Apr-2017,51.729,52.003,51.648,52.145
05-Apr-2017,51.999,51.969,51.832,52.352
04-Apr-2017,51.759,52.109,51.752,52.184
03-Apr-2017,52.060,52.444,52.023,52.784
31-Mar-2017,52.237,52.269,51.657,52.446
30-Mar-2017,52.191,52.420,52.050,52.479
29-Mar-2017,52.511,52.646,52.408,52.841
